450.00 0.049485 0.004036
460.00 0.049229 0.005343
470.00 0.048958 0.005599
480.00 0.048829 0.006076
490.00 0.048717 0.007348
500.00 0.048570 0.011784
510.00 0.049019 0.024971
520.00 0.052228 0.054625
530.00 0.058800 0.088564
540.00 0.061830 0.102326
550.00 0.063113 0.108521
560.00 0.060930 0.103490
570.00 0.055305 0.084361
580.00 0.050831 0.065791
590.00 0.048797 0.056365
600.00 0.047759 0.052349
610.00 0.046407 0.045439
620.00 0.045206 0.037234
630.00 0.044703 0.034942
640.00 0.044116 0.029786
650.00 0.043353 0.020522
660.00 0.043096 0.015143
670.00 0.042754 0.008649
680.00 0.042731 0.007629
690.00 0.043226 0.023021
700.00 0.056375 0.103458
710.00 0.100158 0.216730
720.00 0.167969 0.333035
730.00 0.246165 0.443844
740.00 0.311427 0.528268
750.00 0.356357 0.583583
760.00 0.368907 0.600097
770.00 0.368569 0.600477
780.00 0.382738 0.617262
790.00 0.382738 0.617262
800.00 0.382903 0.616667
810.00 0.382706 0.616435
820.00 0.382509 0.616203
830.00 0.382509 0.616203
840.00 0.382313 0.615971
850.00 0.382313 0.615971
860.00 0.382313 0.615971
870.00 0.382117 0.615740
880.00 0.381561 0.615872
890.00 0.381561 0.615872
900.00 0.381365 0.615641
910.00 0.380810 0.615776
920.00 0.380227 0.615087
930.00 0.378682 0.613260
940.00 0.376038 0.610919
950.00 0.374342 0.608907
960.00 0.373057 0.608172
970.00 0.372871 0.607951
980.00 0.373079 0.608991
990.00 0.373638 0.609657
1000.00 0.374033 0.610922
1010.00 0.374804 0.612637
1020.00 0.376335 0.615259
1030.00 0.376163 0.615859
1040.00 0.376369 0.616911
1050.00 0.376193 0.617512
1060.00 0.376206 0.618340
1070.00 0.375837 0.618716
1080.00 0.375279 0.618868
1090.00 0.374532 0.618796
1100.00 0.373041 0.618660
1110.00 0.371369 0.617485
1120.00 0.369161 0.615665
1130.00 0.365896 0.612571
1140.00 0.361805 0.608472
1150.00 0.354222 0.600127
1160.00 0.350538 0.596477
1170.00 0.348540 0.595701
1180.00 0.347873 0.595718
1190.00 0.346557 0.594944
